"","biweek","date","den.cases.str1","den.cases.str2","den.cases.str3","den.cases.str4","births"
"1",1,1986-01-01,0,0,0,0,2482
"2",2,1986-01-15,0,0,0,0,2481
"3",3,1986-01-29,0,0,0,0,2480
"4",4,1986-02-12,0,0,0,0,2479
"5",5,1986-02-26,0,0,0,0,2478
"6",6,1986-03-12,0,0,0,0,2477
"7",7,1986-03-26,0,0,0,0,2476
"8",8,1986-04-09,0,0,0,0,2475
"9",9,1986-04-23,0,0,0,0,2474
"10",10,1986-05-07,0,0,0,0,2473
"11",11,1986-05-21,0,0,0,0,2472
"12",12,1986-06-04,0,0,0,0,2471
"13",13,1986-06-18,0,0,0,0,2470
"14",14,1986-07-02,2,0,0,3,2469
"15",15,1986-07-16,2,0,0,1,2468
"16",16,1986-07-30,2,0,0,1,2467
"17",17,1986-08-13,0,1,0,2,2466
"18",18,1986-08-27,6,0,0,9,2465
"19",19,1986-09-10,12,4,0,16,2464
"20",20,1986-09-24,8,1,0,7,2463
"21",21,1986-10-08,5,7,0,14,2462
"22",22,1986-10-22,1,0,0,0,2461
"23",23,1986-11-05,0,0,0,0,2460
"24",24,1986-11-19,0,2,0,2,2459
"25",25,1986-12-03,0,1,0,1,2458
"26",26,1986-12-17,0,0,0,0,2457
"27",1,1987-01-01,2,5,0,4,2456
"28",2,1987-01-15,6,8,0,12,2455
"29",3,1987-01-29,3,3,0,6,2454
"30",4,1987-02-12,2,4,0,5,2453
"31",5,1987-02-26,0,1,0,11,2452
"32",6,1987-03-12,0,1,0,3,2451
"33",7,1987-03-26,1,3,0,4,2450
"34",8,1987-04-09,0,1,0,2,2449
"35",9,1987-04-23,0,1,0,0,2448
"36",10,1987-05-07,0,2,0,2,2447
"37",11,1987-05-21,0,1,0,3,2446
"38",12,1987-06-04,0,3,0,3,2445
"39",13,1987-06-18,1,3,0,6,2444
"40",14,1987-07-02,5,7,0,5,2443
"41",15,1987-07-16,4,7,0,6,2442
"42",16,1987-07-30,5,12,0,12,2441
"43",17,1987-08-13,4,11,0,5,2440
"44",18,1987-08-27,3,7,0,4,2439
"45",19,1987-09-10,2,5,0,0,2438
"46",20,1987-09-24,1,2,0,1,2437
"47",21,1987-10-08,1,4,0,0,2436
"48",22,1987-10-22,1,2,0,3,2435
"49",23,1987-11-05,0,3,0,1,2434
"50",24,1987-11-19,0,1,0,1,2432
"51",25,1987-12-03,0,2,0,1,2431
"52",26,1987-12-17,1,0,0,2,2430
"53",1,1988-01-01,1,3,0,2,2429
"54",2,1988-01-15,1,2,0,1,2428
"55",3,1988-01-29,0,3,0,1,2427
"56",4,1988-02-12,0,2,0,1,2426
"57",5,1988-02-26,0,1,0,3,2425
"58",6,1988-03-11,0,4,0,1,2424
"59",7,1988-03-25,2,1,0,2,2423
"60",8,1988-04-08,0,0,0,4,2422
"61",9,1988-04-22,0,1,0,1,2421
"62",10,1988-05-06,0,0,0,0,2420
"63",11,1988-05-20,1,2,0,1,2419
"64",12,1988-06-03,0,3,0,5,2418
"65",13,1988-06-17,0,2,0,0,2417
"66",14,1988-07-01,0,2,0,3,2416
"67",15,1988-07-15,1,1,0,6,2415
"68",16,1988-07-29,2,6,0,7,2414
"69",17,1988-08-12,0,7,0,12,2413
"70",18,1988-08-26,0,6,0,13,2412
"71",19,1988-09-09,1,14,0,22,2411
"72",20,1988-09-23,3,12,0,10,2410
"73",21,1988-10-07,1,30,0,13,2409
"74",22,1988-10-21,1,25,0,14,2408
"75",23,1988-11-04,3,31,0,8,2407
"76",24,1988-11-18,1,44,0,11,2406
"77",25,1988-12-02,4,20,0,9,2405
"78",26,1988-12-16,0,18,0,3,2404
"79",1,1989-01-01,0,3,0,4,2403
"80",2,1989-01-15,1,8,0,0,2402
"81",3,1989-01-29,0,6,0,1,2401
"82",4,1989-02-12,0,10,0,1,2400
"83",5,1989-02-26,0,3,0,0,2399
"84",6,1989-03-12,1,4,0,0,2398
"85",7,1989-03-26,0,0,0,2,2397
"86",8,1989-04-09,0,2,0,1,2396
"87",9,1989-04-23,0,4,0,1,2395
"88",10,1989-05-07,0,1,0,0,2394
"89",11,1989-05-21,0,1,0,1,2393
"90",12,1989-06-04,0,2,0,0,2392
"91",13,1989-06-18,0,4,0,1,2391
"92",14,1989-07-02,0,3,0,2,2390
"93",15,1989-07-16,0,3,0,0,2389
"94",16,1989-07-30,0,10,0,3,2388
"95",17,1989-08-13,0,35,0,0,2387
"96",18,1989-08-27,0,29,0,0,2386
"97",19,1989-09-10,1,18,0,1,2385
"98",20,1989-09-24,1,28,0,2,2384
"99",21,1989-10-08,0,23,0,8,2383
"100",22,1989-10-22,2,32,0,6,2382
"101",23,1989-11-05,2,38,0,4,2381
"102",24,1989-11-19,1,21,0,5,2380
"103",25,1989-12-03,0,20,0,6,2379
"104",26,1989-12-17,1,14,0,2,2378
"105",1,1990-01-01,2,9,0,3,2377
"106",2,1990-01-15,0,13,0,4,2376
"107",3,1990-01-29,1,14,0,2,2375
"108",4,1990-02-12,1,7,0,0,2374
"109",5,1990-02-26,0,5,0,1,2373
"110",6,1990-03-12,1,7,0,0,2372
"111",7,1990-03-26,0,0,0,1,2371
"112",8,1990-04-09,0,1,0,0,2370
"113",9,1990-04-23,0,0,0,0,2369
"114",10,1990-05-07,0,0,0,0,2368
"115",11,1990-05-21,0,0,0,0,2367
"116",12,1990-06-04,1,1,0,0,2366
"117",13,1990-06-18,2,1,0,0,2365
"118",14,1990-07-02,0,0,0,1,2364
"119",15,1990-07-16,0,2,0,0,2363
"120",16,1990-07-30,1,2,0,1,2362
"121",17,1990-08-13,0,5,0,3,2361
"122",18,1990-08-27,1,13,0,4,2360
"123",19,1990-09-10,0,12,0,0,2359
"124",20,1990-09-24,0,11,0,5,2358
"125",21,1990-10-08,0,10,0,3,2357
"126",22,1990-10-22,1,13,0,4,2356
"127",23,1990-11-05,0,8,0,5,2355
"128",24,1990-11-19,1,10,0,5,2354
"129",25,1990-12-03,3,9,0,9,2353
"130",26,1990-12-17,0,7,0,2,2352
"131",1,1991-01-01,0,5,0,6,2351
"132",2,1991-01-15,0,2,0,1,2350
"133",3,1991-01-29,0,5,0,2,2349
"134",4,1991-02-12,2,4,0,1,2348
"135",5,1991-02-26,1,1,0,2,2347
"136",6,1991-03-12,0,0,0,1,2346
"137",7,1991-03-26,1,5,0,2,2345
"138",8,1991-04-09,1,0,0,1,2344
"139",9,1991-04-23,0,3,0,0,2343
"140",10,1991-05-07,1,2,0,0,2342
"141",11,1991-05-21,0,5,0,1,2341
"142",12,1991-06-04,2,3,0,5,2340
"143",13,1991-06-18,4,3,0,3,2339
"144",14,1991-07-02,0,4,0,5,2338
"145",15,1991-07-16,0,0,0,0,2337
"146",16,1991-07-30,8,5,0,3,2336
"147",17,1991-08-13,9,14,0,3,2335
"148",18,1991-08-27,12,4,0,5,2334
"149",19,1991-09-10,3,8,0,4,2333
"150",20,1991-09-24,9,15,0,4,2332
"151",21,1991-10-08,10,12,0,5,2331
"152",22,1991-10-22,22,8,0,11,2330
"153",23,1991-11-05,19,13,0,14,2329
"154",24,1991-11-19,24,13,0,15,2328
"155",25,1991-12-03,8,13,0,9,2327
"156",26,1991-12-17,2,4,0,7,2326
"157",1,1992-01-01,2,3,0,7,2325
"158",2,1992-01-15,5,4,0,1,2324
"159",3,1992-01-29,0,0,0,4,2323
"160",4,1992-02-12,3,3,0,2,2322
"161",5,1992-02-26,9,4,0,2,2321
"162",6,1992-03-11,5,1,0,3,2320
"163",7,1992-03-25,4,2,0,1,2319
"164",8,1992-04-08,2,2,0,0,2318
"165",9,1992-04-22,3,0,0,2,2317
"166",10,1992-05-06,5,4,0,1,2316
"167",11,1992-05-20,6,0,0,1,2315
"168",12,1992-06-03,1,0,0,1,2314
"169",13,1992-06-17,3,0,0,5,2313
"170",14,1992-07-01,3,2,0,2,2312
"171",15,1992-07-15,5,1,0,2,2310
"172",16,1992-07-29,17,5,0,9,2309
"173",17,1992-08-12,32,5,0,12,2308
"174",18,1992-08-26,40,9,0,6,2307
"175",19,1992-09-09,31,3,0,8,2306
"176",20,1992-09-23,30,9,0,3,2305
"177",21,1992-10-07,17,3,0,3,2304
"178",22,1992-10-21,11,1,0,1,2303
"179",23,1992-11-04,17,4,0,9,2302
"180",24,1992-11-18,7,1,0,1,2301
"181",25,1992-12-02,7,0,0,2,2300
"182",26,1992-12-16,14,3,0,4,2299
"183",1,1993-01-01,10,0,0,1,2298
"184",2,1993-01-15,1,3,0,0,2297
"185",3,1993-01-29,8,4,0,0,2296
"186",4,1993-02-12,3,0,0,1,2295
"187",5,1993-02-26,4,1,0,1,2294
"188",6,1993-03-12,5,2,0,0,2293
"189",7,1993-03-26,3,0,0,0,2292
"190",8,1993-04-09,2,1,0,1,2291
"191",9,1993-04-23,2,2,0,1,2290
"192",10,1993-05-07,1,3,0,0,2289
"193",11,1993-05-21,1,1,0,1,2288
"194",12,1993-06-04,1,0,0,0,2287
"195",13,1993-06-18,7,4,0,0,2286
"196",14,1993-07-02,5,2,0,2,2285
"197",15,1993-07-16,5,5,0,2,2284
"198",16,1993-07-30,2,3,0,2,2283
"199",17,1993-08-13,3,6,0,5,2282
"200",18,1993-08-27,3,5,0,3,2281
"201",19,1993-09-10,7,3,0,3,2280
"202",20,1993-09-24,12,3,0,4,2279
"203",21,1993-10-08,14,10,0,2,2278
"204",22,1993-10-22,10,12,0,6,2277
"205",23,1993-11-05,21,15,0,13,2276
"206",24,1993-11-19,18,12,0,5,2275
"207",25,1993-12-03,9,10,0,6,2274
"208",26,1993-12-17,11,9,0,5,2273
"209",1,1994-01-01,5,9,0,0,2272
"210",2,1994-01-15,9,11,0,5,2271
"211",3,1994-01-29,7,17,0,4,2270
"212",4,1994-02-12,7,10,0,2,2269
"213",5,1994-02-26,10,9,0,3,2268
"214",6,1994-03-12,9,7,0,4,2267
"215",7,1994-03-26,0,7,0,2,2266
"216",8,1994-04-09,2,4,0,0,2265
"217",9,1994-04-23,3,5,0,1,2264
"218",10,1994-05-07,4,5,0,0,2263
"219",11,1994-05-21,5,11,0,5,2262
"220",12,1994-06-04,6,14,0,7,2261
"221",13,1994-06-18,5,28,0,12,2260
"222",14,1994-07-02,8,33,0,6,2259
"223",15,1994-07-16,6,44,0,12,2258
"224",16,1994-07-30,6,62,0,20,2257
"225",17,1994-08-13,16,42,0,10,2256
"226",18,1994-08-27,17,47,0,11,2255
"227",19,1994-09-10,5,32,0,12,2254
"228",20,1994-09-24,10,40,0,18,2253
"229",21,1994-10-08,12,62,0,21,2252
"230",22,1994-10-22,13,39,0,7,2251
"231",23,1994-11-05,8,23,0,3,2250
"232",24,1994-11-19,6,10,0,5,2249
"233",25,1994-12-03,4,26,0,18,2248
"234",26,1994-12-17,9,29,0,9,2247
"235",1,1995-01-01,3,21,0,5,2246
"236",2,1995-01-15,7,16,0,9,2245
"237",3,1995-01-29,5,6,0,5,2244
"238",4,1995-02-12,0,4,0,1,2243
"239",5,1995-02-26,0,2,0,3,2242
"240",6,1995-03-12,2,3,0,1,2241
"241",7,1995-03-26,6,1,0,4,2240
"242",8,1995-04-09,3,4,0,2,2239
"243",9,1995-04-23,0,3,0,0,2238
"244",10,1995-05-07,1,3,0,1,2237
"245",11,1995-05-21,0,2,0,1,2236
"246",12,1995-06-04,4,4,0,2,2235
"247",13,1995-06-18,2,32,0,1,2234
"248",14,1995-07-02,1,9,0,1,2233
"249",15,1995-07-16,1,5,0,2,2232
"250",16,1995-07-30,1,23,0,1,2231
"251",17,1995-08-13,0,17,0,2,2230
"252",18,1995-08-27,4,14,0,1,2229
"253",19,1995-09-10,6,11,0,5,2228
"254",20,1995-09-24,4,9,0,4,2227
"255",21,1995-10-08,4,8,0,3,2226
"256",22,1995-10-22,4,15,0,4,2225
"257",23,1995-11-05,0,2,0,5,2224
"258",24,1995-11-19,0,2,0,2,2223
"259",25,1995-12-03,0,0,0,1,2222
"260",26,1995-12-17,0,4,0,2,2221
"261",1,1996-01-01,1,4,0,3,2220
"262",2,1996-01-15,3,2,0,0,2219
"263",3,1996-01-29,2,4,0,3,2218
"264",4,1996-02-12,1,1,0,0,2217
"265",5,1996-02-26,3,5,0,2,2216
"266",6,1996-03-11,0,7,0,1,2215
"267",7,1996-03-25,0,4,0,3,2214
"268",8,1996-04-08,2,3,0,2,2213
"269",9,1996-04-22,3,1,0,0,2212
"270",10,1996-05-06,0,0,0,3,2211
"271",11,1996-05-20,1,3,0,2,2210
"272",12,1996-06-03,0,0,0,2,2209
"273",13,1996-06-17,5,5,0,2,2208
"274",14,1996-07-01,0,3,0,6,2207
"275",15,1996-07-15,4,7,0,2,2206
"276",16,1996-07-29,2,12,0,11,2205
"277",17,1996-08-12,2,13,0,2,2204
"278",18,1996-08-26,2,10,0,7,2203
"279",19,1996-09-09,4,12,0,9,2202
"280",20,1996-09-23,5,14,0,5,2201
"281",21,1996-10-07,1,7,0,4,2200
"282",22,1996-10-21,4,8,0,6,2199
"283",23,1996-11-04,6,15,0,2,2198
"284",24,1996-11-18,6,17,0,18,2197
"285",25,1996-12-02,4,20,0,14,2196
"286",26,1996-12-16,5,8,0,11,2195
"287",1,1997-01-01,3,7,0,10,2194
"288",2,1997-01-15,2,13,0,7,2193
"289",3,1997-01-29,1,7,0,2,2192
"290",4,1997-02-12,4,4,0,0,2191
"291",5,1997-02-26,2,2,0,5,2190
"292",6,1997-03-12,0,0,0,3,2188
"293",7,1997-03-26,1,1,0,1,2187
"294",8,1997-04-09,2,0,0,1,2186
"295",9,1997-04-23,0,2,0,2,2185
"296",10,1997-05-07,1,0,0,4,2184
"297",11,1997-05-21,0,0,0,0,2183
"298",12,1997-06-04,0,0,0,0,2182
"299",13,1997-06-18,1,0,0,1,2181
"300",14,1997-07-02,2,1,0,3,2180
"301",15,1997-07-16,0,2,0,2,2179
"302",16,1997-07-30,5,6,0,6,2178
"303",17,1997-08-13,3,1,0,8,2177
"304",18,1997-08-27,6,3,0,12,2176
"305",19,1997-09-10,15,10,0,11,2175
"306",20,1997-09-24,10,17,0,6,2174
"307",21,1997-10-08,11,9,0,18,2173
"308",22,1997-10-22,11,10,0,13,2172
"309",23,1997-11-05,1,4,0,3,2171
"310",24,1997-11-19,8,4,0,10,2170
"311",25,1997-12-03,7,0,0,5,2169
"312",26,1997-12-17,9,4,0,7,2168
"313",1,1998-01-01,5,4,1,7,2167
"314",2,1998-01-15,13,2,1,12,2166
"315",3,1998-01-29,13,6,0,11,2165
"316",4,1998-02-12,8,5,0,12,2164
"317",5,1998-02-26,24,5,0,14,2163
"318",6,1998-03-12,8,2,0,10,2162
"319",7,1998-03-26,11,2,0,13,2161
"320",8,1998-04-09,6,1,0,13,2160
"321",9,1998-04-23,14,4,1,13,2159
"322",10,1998-05-07,15,1,1,25,2158
"323",11,1998-05-21,13,8,2,22,2157
"324",12,1998-06-04,14,4,1,23,2156
"325",13,1998-06-18,29,5,3,22,2155
"326",14,1998-07-02,23,11,0,33,2154
"327",15,1998-07-16,29,13,1,29,2153
